"english","mr","hi","decision","reviewer","occurrences","first_path","first_line","first_kind","text_sha256"
"Recipient","प्राप्तकर्ता","प्राप्तकर्ता","pending-fluent-review","","1","www/index.html","4992","element:label","51fac985e95345d90b3c8a69f5e60003cbbd47a06efdcf0270d76be85b408657"
"Recipient / record","प्राप्तकर्ता / रेकॉर्ड","प्राप्तकर्ता/रिकॉर्ड","pending-fluent-review","","1","www/index.html","4998","element:label","68854ae3a1c58674e36db07f6aa8e7ffa088b0a09bba394c4091d2d682d1d21b"
"Type to search — name, number or ID…","शोधण्यासाठी टाइप करा — नाव, क्रमांक किंवा आयडी…","खोजने के लिए टाइप करें - नाम, नंबर या आईडी...","pending-fluent-review","","1","www/index.html","4999","attribute:placeholder","0f485ce91ea59eefa46149a12e18b324a9f67116557e9abe3b54fc80610a8f4f"
"No matching records","कोणतेही जुळणारे रेकॉर्ड नाहीत","कोई मेल खाता रिकॉर्ड नहीं","pending-fluent-review","","1","www/index.html","5034","element:option","4f36612ecc081b9b7c7b6b49137b8ebbc52ce27adaa9fc06866f9f99184bd363"
"Nothing to send — pick a record and message","पाठवण्यासाठी काहीही नाही — रेकॉर्ड आणि संदेश निवडा","भेजने के लिए कुछ नहीं - एक रिकॉर्ड और संदेश चुनें","pending-fluent-review","","1","www/index.html","5056","script-message","278a7666b3683101644a42829300db8dc41a7a4e822c4bb9437d5313c5bee313"
"File downloaded","फाइल डाउनलोड केली","फ़ाइल डाउनलोड हो गई","pending-fluent-review","","1","www/index.html","5157","script-message","1c26d0ce7773244eb8e7d98c553c5949a5aa762a7eb96363eae533b3c5cde3c4"
"Saved as text file","मजकूर फाइल म्हणून जतन","पाठ फ़ाइल के रूप में सहेजा गया","pending-fluent-review","","1","www/index.html","5160","script-message","70d7a9c260782c18a75e271f1091bb276ed1ab003bb38b265a33222560ae3b2a"
"Share blocked — fresh owner export approval is required.","सामायिक अवरोधित केले — नवीन मालक निर्यात मंजूरी आवश्यक आहे.","शेयर अवरुद्ध - नए स्वामी निर्यात अनुमोदन की आवश्यकता है।","pending-fluent-review","","1","www/index.html","5170","script-message","328587d2fef3df370487b11f6275fdb9ad3d51bc0fbb7d69c29a0662357ba3fd"
"WhatsApp could not be opened.","WhatsApp उघडता आले नाही.","व्हाट्सएप नहीं खुल सका.","pending-fluent-review","","1","www/index.html","5463","script-message","eae39e6d674207806ee6b41694d2e62ef6bdd8bc3196532f2d339c4a21d78d8d"
"Dept","विभाग","विभाग","pending-fluent-review","","1","www/index.html","5505","element:th","1b2d7344da44727407be5522c67d5e62191bb40768c5422b0a278fe0023f1f29"
"Un-archive: re-enable sign-in. Owner re-sets their PIN.","संग्रहण रद्द करा: साइन-इन पुन्हा-सक्षम करा. मालक त्यांचा पिन पुन्हा सेट करतो.","अन-संग्रह: साइन-इन पुनः सक्षम करें। स्वामी अपना पिन पुनः सेट करता है.","pending-fluent-review","","1","www/index.html","5521","attribute:title","1e6ed3cc912e4ef7c7347ea6344b8177785e56fbcce16fa1de9d522c6c7bf4ee"
"Name cannot be blank","नाव रिक्त असू शकत नाही","नाम रिक्त नहीं हो सकता","pending-fluent-review","","1","www/index.html","5592","script-message","b2e29ddbb5cc7555cbe1e412756ad9885d5f69c3c607b0bd4ca47167bd60f9e1"
"x.checked=true)"">Select all","x.checked=true)"">सर्व निवडा","x.checked=true)"">सभी का चयन करें","pending-fluent-review","","1","www/index.html","5642","element:button","79eb3e8ec1a1e438fea7675e613d389d658611f5b0fbcd15b269cf2b27744bba"
"No employees selected","कोणतेही कर्मचारी निवडले नाहीत","कोई कर्मचारी चयनित नहीं","pending-fluent-review","","1","www/index.html","5655","script-message","f483d893b67f6e75890068b390277a5986249f6cfc25d7afec146511c32250bd"
"Recovery passphrase must be at least 12 characters.","पुनर्प्राप्ती सांकेतिक वाक्यांश किमान 12 वर्णांचा असणे आवश्यक आहे.","पुनर्प्राप्ति पासफ़्रेज़ कम से कम 12 अक्षर का होना चाहिए.","pending-fluent-review","","1","www/index.html","5689","script-message","59c61084929292b23abcf67591b4f26faf5575b11537b0faeaa97b0724218be5"
"Passphrases did not match. Backup was not created.","सांकेतिक वाक्यांश जुळले नाहीत. बॅकअप तयार केला नाही.","पासफ़्रेज़ मेल नहीं खाते. बैकअप नहीं बनाया गया.","pending-fluent-review","","1","www/index.html","5694","script-message","54f9a7e0b44364eccf815bd028c72d8bcdc87721f3564fd1965432da4de65692"
"Automatic off-device backup is unavailable in this build.","या बिल्डमध्ये स्वयंचलित ऑफ-डिव्हाइस बॅकअप अनुपलब्ध आहे.","इस बिल्ड में स्वचालित ऑफ-डिवाइस बैकअप उपलब्ध नहीं है।","pending-fluent-review","","1","www/index.html","5705","script-message","93685b8d08d9fe193ed21a2103dc7101ba91a2db07197bd6ebb766d23bc78b29"
"Choose a Drive or OneDrive folder, then approve the standing backup permission.","ड्राइव्ह किंवा OneDrive फोल्डर निवडा, नंतर स्थायी बॅकअप परवानगी मंजूर करा.","एक ड्राइव या वनड्राइव फ़ोल्डर चुनें, फिर स्थायी बैकअप अनुमति को मंजूरी दें।","pending-fluent-review","","1","www/index.html","5706","script-message","1a898d092a017bc1284c26f077af45fb93b38e97b4fd6348efa7e6a118317c91"
"Automatic encrypted off-device backup is active and verified.","स्वयंचलित एन्क्रिप्टेड ऑफ-डिव्हाइस बॅकअप सक्रिय आणि सत्यापित आहे.","स्वचालित एन्क्रिप्टेड ऑफ-डिवाइस बैकअप सक्रिय और सत्यापित है।","pending-fluent-review","","1","www/index.html","5707","script-message","f0f4ae57c875ac7c9f6aa73eed172f60e647ae78604e50ea9554a4cc4262dc79"
"Automatic backup setup failed:","स्वयंचलित बॅकअप सेटअप अयशस्वी:","स्वचालित बैकअप सेटअप विफल:","pending-fluent-review","","1","www/index.html","5708","script-message","c1be8eef4b9c2ec29a20e0b5824d98150d26479f99463280b7dafaf5c3ce76be"
"Automatic off-device backup is unavailable.","स्वयंचलित ऑफ-डिव्हाइस बॅकअप अनुपलब्ध आहे.","स्वचालित ऑफ-डिवाइस बैकअप उपलब्ध नहीं है.","pending-fluent-review","","1","www/index.html","5712","script-message","a66abc55d5bf9916ebbb06b76853c2719faac5c42b426e6b0e5d6d2090a36ed9"
"Preparing and verifying the off-device backup…","ऑफ-डिव्हाइस बॅकअप तयार आणि सत्यापित करत आहे...","ऑफ-डिवाइस बैकअप तैयार और सत्यापित किया जा रहा है…","pending-fluent-review","","1","www/index.html","5713","script-message","39d24e7a06ff9f58d8c4fdd0f8b3f842e3dd2b3d72cf5e8ffc7528d2e60c8a6c"
"Off-device backup failed:","ऑफ-डिव्हाइस बॅकअप अयशस्वी:","ऑफ-डिवाइस बैकअप विफल:","pending-fluent-review","","1","www/index.html","5715","script-message","90f5425148e0db9425dc9a68890d3679a6c1d76f6660a9ef29b49f7de05fbb8d"
"Disable automatic off-device backup and remove this folder permission? Existing backup files will remain in the selected provider.","स्वयंचलित ऑफ-डिव्हाइस बॅकअप अक्षम करा आणि हे फोल्डर परवानगी काढायची? विद्यमान बॅकअप फायली निवडलेल्या प्रदात्यामध्ये राहतील.","स्वचालित ऑफ-डिवाइस बैकअप अक्षम करें और इस फ़ोल्डर की अनुमति हटा दें? मौजूदा बैकअप फ़ाइलें चयनित प्रदाता के पास रहेंगी।","pending-fluent-review","","1","www/index.html","5719","script-message","6f139ec0e20209a11095c77528b6357c07e30ab9bfe89188cc0649b08cac765c"
"Automatic off-device backup disabled.","स्वयंचलित ऑफ-डिव्हाइस बॅकअप अक्षम.","स्वचालित ऑफ-डिवाइस बैकअप अक्षम किया गया.","pending-fluent-review","","1","www/index.html","5720","script-message","50fcf6f3a7381813d39c2d720323464fc56a6b3db91551635e507050e871815c"
"Could not disable automatic backup:","स्वयंचलित बॅकअप अक्षम करणे शक्य झाले नाही:","स्वचालित बैकअप अक्षम नहीं किया जा सका:","pending-fluent-review","","1","www/index.html","5721","script-message","048fc9aca58391a41c539320b94030a2d71bb1da35aa6670457e3414a5f5c29d"
"DAT-02 device test is unavailable.","DAT-02 डिव्हाइस चाचणी अनुपलब्ध आहे.","DAT-02 डिवाइस परीक्षण अनुपलब्ध है.","pending-fluent-review","","1","www/index.html","5725","script-message","4f170c24fefa610ffa815f833104c94f632a93b553f3aa59b7a69d720ede95ba"
"Run five real encrypted database saves now? Keep this screen open for about one minute.","पाच रिअल एनक्रिप्टेड डेटाबेस सेव्ह आता चालवायचे? ही स्क्रीन सुमारे एक मिनिट उघडी ठेवा.","अभी पाँच वास्तविक एन्क्रिप्टेड डेटाबेस सेव चलाएँ? इस स्क्रीन को लगभग एक मिनट तक खुला रखें।","pending-fluent-review","","1","www/index.html","5726","script-message","b81a9469eed3db96537ad22b595b8cfb05766170f1ae13e752295ed9b51cc627"
"Running DAT-02 storage test…","DAT-02 स्टोरेज चाचणी चालवत आहे...","DAT-02 भंडारण परीक्षण चल रहा है…","pending-fluent-review","","1","www/index.html","5727","script-message","1f8b914dbb5847b50b52c4cf4dd35945268eae6a8f8c5d66c609810cfe2c3f92"
"DAT-02 test failed:","DAT-02 चाचणी अयशस्वी:","DAT-02 परीक्षण विफल:","pending-fluent-review","","1","www/index.html","5731","script-message","e07505166bba134dca868c9a05b0ceecb2c33ff824c0e22ef26dba6d725c74ee"
"Preparing full migration export…","संपूर्ण स्थलांतर निर्यात तयार करत आहे...","पूर्ण माइग्रेशन निर्यात तैयार किया जा रहा है...","pending-fluent-review","","1","www/index.html","5759","script-message","484b5b30a69c77ac90429d63a51159cb8304a7df5eec88647095c879e14dfc21"
"Encrypting backup…","बॅकअप कूटबद्ध करत आहे...","बैकअप एन्क्रिप्ट किया जा रहा है...","pending-fluent-review","","1","www/index.html","5803","script-message","8fc8833aba5755c7854d239ed3689bd70aa23a1985761a124ce7818eddcc096a"
"Encrypted backup downloaded. Keep its recovery passphrase safe.","एन्क्रिप्टेड बॅकअप डाउनलोड केला. त्याचा पुनर्प्राप्ती सांकेतिक वाक्यांश सुरक्षित ठेवा.","एन्क्रिप्टेड बैकअप डाउनलोड किया गया. इसके पुनर्प्राप्ति पासफ़्रेज़ को सुरक्षित रखें.","pending-fluent-review","","1","www/index.html","5824","script-message","9338c41ba46a630e7ce8a08e66236030ca36778da38489d1c7d0aa15ec1b1361"
"Backup encryption failed:","बॅकअप एन्क्रिप्शन अयशस्वी:","बैकअप एन्क्रिप्शन विफल:","pending-fluent-review","","1","www/index.html","5827","script-message","80ab5735d0d1f229f40adda0a9fce905b49a9737067a6c0447c08d09a8dcc081"
"Preparing fresh portable backup…","ताजे पोर्टेबल बॅकअप तयार करत आहे...","ताज़ा पोर्टेबल बैकअप तैयार किया जा रहा है...","pending-fluent-review","","1","www/index.html","5882","script-message","a7f3bbff6b95420bf1a47a112eeb572bc6ff885e487cefe969ec501a8acf97a7"
"Encrypting portable backup…","पोर्टेबल बॅकअप एन्क्रिप्ट करत आहे...","पोर्टेबल बैकअप एन्क्रिप्ट किया जा रहा है...","pending-fluent-review","","1","www/index.html","5887","script-message","bfdf000d8c43c3008fc08be6810e22fc163a460673051695e504dff3c04d23db"
"Encrypted backup downloaded (Share to Drive works in the installed app)","एन्क्रिप्टेड बॅकअप डाउनलोड केला (इंस्टॉल केलेल्या ॲपमध्ये ड्राइव्हवर शेअर करा)","एन्क्रिप्टेड बैकअप डाउनलोड किया गया (शेयर टू ड्राइव इंस्टॉल किए गए ऐप में काम करता है)","pending-fluent-review","","1","www/index.html","5904","script-message","af24b3ec5b3e8e78721923a158c583a02bf38ed13cab9636cb1cbfea60a42ea4"
"Did you finish saving or sending this encrypted backup outside this phone? Tap OK only if it is now in Google Drive, WhatsApp, email, or another off-device location.","तुम्ही या फोनच्या बाहेर हा एनक्रिप्टेड बॅकअप सेव्ह करणे किंवा पाठवणे पूर्ण केले आहे का? ते आता Google Drive, WhatsApp, ईमेल किंवा इतर ऑफ-डिव्हाइस स्थानावर असल्यासच OK वर टॅप करा.","क्या आपने इस एन्क्रिप्टेड बैकअप को इस फ़ोन से बाहर सहेजना या भेजना समाप्त कर दिया है? ओके पर तभी टैप करें जब यह अब गूगल ड्राइव, व्हाट्सएप, ईमेल या किसी अन्य ऑफ-डिवाइस लोकेशन पर हो।","pending-fluent-review","","1","www/index.html","5912","script-message","4e9157419ad727e2c4b3c535d4847b3aff803e2c34d17573f456858495ea3d7b"
"Off-device reminder unchanged — share again after saving the file.","ऑफ-डिव्हाइस रिमाइंडर अपरिवर्तित — फाइल सेव्ह केल्यानंतर पुन्हा शेअर करा.","ऑफ-डिवाइस अनुस्मारक अपरिवर्तित - फ़ाइल को सहेजने के बाद फिर से साझा करें।","pending-fluent-review","","1","www/index.html","5916","script-message","66dcd15eb10b4fc37825a67d3221a094f45069e66a5b8f2eabac1ef01e8181ad"
"Backup shared, but its reminder date could not be saved.","बॅकअप शेअर केला, पण त्याची रिमाइंडर तारीख सेव्ह केली जाऊ शकली नाही.","बैकअप साझा किया गया, लेकिन इसकी अनुस्मारक तिथि सहेजी नहीं जा सकी.","pending-fluent-review","","1","www/index.html","5922","script-message","6b2cb6f4ac203c8e7aad0eb92636a128e48d6ed60ca6349c9da6e829c4098c81"
"Encrypted off-device backup confirmed","एनक्रिप्टेड ऑफ-डिव्हाइस बॅकअप पुष्टी केली","एन्क्रिप्टेड ऑफ-डिवाइस बैकअप की पुष्टि की गई","pending-fluent-review","","1","www/index.html","5926","script-message","585434ebb089f9d32e6fb9289452a77bfc18248433f76428093c1630cffeaa11"
"Device backup unavailable here","डिव्हाइस बॅकअप येथे उपलब्ध नाही","डिवाइस बैकअप यहां उपलब्ध नहीं है","pending-fluent-review","","1","www/index.html","6002","script-message","56b8af2e25f006831dfce1b91d6cb597c6bc856768ca29c01f8632613a4836d3"
"No on-device auto-backup found yet","अद्याप कोणतेही ऑन-डिव्हाइस स्वयं-बॅकअप आढळले नाही","अभी तक कोई ऑन-डिवाइस ऑटो-बैकअप नहीं मिला","pending-fluent-review","","1","www/index.html","6004","script-message","59d856a9caab72450851293084ebd45ba8b0293e79a7b40c99ec7591e6cd946b"
"Device backup is too large (>64 MB) — restore aborted.","डिव्हाइस बॅकअप खूप मोठा आहे (>64 MB) — पुनर्संचयित करणे रद्द केले आहे.","डिवाइस बैकअप बहुत बड़ा है (>64 एमबी) - पुनर्स्थापना निरस्त।","pending-fluent-review","","1","www/index.html","6017","script-message","459f5b3cb506151ed184ce94db502b4b84227ff36bd901c545e24def86a9ed3c"
"Remove old shared-storage backups","जुने शेअर केलेले-स्टोरेज बॅकअप काढा","पुराने साझा-भंडारण बैकअप हटाएँ","pending-fluent-review","","1","www/index.html","6033","element:button","08ca85ba605e581701fd6d708be92ddadbd9b2d481d18242a0f28322a94a3124"
"Not available here","येथे उपलब्ध नाही","यहां उपलब्ध नहीं है","pending-fluent-review","","1","www/index.html","6036","script-message","3a63b49daae87a62bf4445217a7c04637dfe3936369b98bddaf0c55e5c19faf6"
"Remove the old daily backups from the shared Documents/SaagarBCC-Backups/ folder? This deletes ONLY the auto-backup files (backup-*.json, latest.json) — your pre-reset safety backups and archived record exports are NOT touched. Confirm you have a fresh off-device backup (Back up → Share to Drive) first.","शेअर केलेल्या डॉक्युमेंट्स/सागरबीसीसी-बॅकअप्स/फोल्डरमधून जुने दैनिक बॅकअप काढायचे? हे केवळ स्वयं-बॅकअप फायली हटवते (backup-*.json, latest.json) — तुमचे पूर्व-रीसेट सुरक्षा बॅकअप आणि संग्रहित रेकॉर्ड निर्यात यांना स्पर्श केला जात नाही. तुमच्याकडे नवीन ऑफ-डिव्हाइस बॅकअप असल्याची खात्री करा (बॅक अप → ड्राइव्हवर शेअर करा).","साझा दस्तावेज़/सागरबीसीसी-बैकअप/फ़ोल्डर से पुराने दैनिक बैकअप हटाएं? यह केवल ऑटो-बैकअप फ़ाइलें (बैकअप-*.json, नवीनतम.json) हटाता है - आपके पूर्व-रीसेट सुरक्षा बैकअप और संग्रहीत रिकॉर्ड निर्यात को छुआ नहीं जाता है। पहले पुष्टि करें कि आपके पास ताज़ा ऑफ-डिवाइस बैकअप (बैकअप → ड्राइव पर साझा करें) है।","pending-fluent-review","","1","www/index.html","6037","script-message","22a7f917e84f5a832e9532c72267a9c9f55934799f5d6cefb7706508228fb3a5"
"Could not remove old backups","जुने बॅकअप काढू शकलो नाही","पुराने बैकअप नहीं निकाले जा सके","pending-fluent-review","","1","www/index.html","6047","script-message","33626325fbc9b8df50d4ce916c67407e495cffd75d2ac41d03ea38a8731fa2d0"
"Backup file is too large (>64 MB) — restore aborted.","बॅकअप फाइल खूप मोठी आहे (>64 MB) — पुनर्संचयित करणे रद्द केले आहे.","बैकअप फ़ाइल बहुत बड़ी है (>64 एमबी) - पुनर्स्थापना निरस्त की गई।","pending-fluent-review","","1","www/index.html","6071","script-message","5160c2c76f607c2bc01f57d204884164b06dafdf942a2c3288cea3a6ea446315"
"Could not read backup file","बॅकअप फाइल वाचता आली नाही","बैकअप फ़ाइल नहीं पढ़ सका","pending-fluent-review","","1","www/index.html","6073","script-message","9dc2e9898a41acb8ef2942f7e855333f9d26d5d69a0a19fca506e55ab6c939d8"
"Could not decrypt this backup","हा बॅकअप डिक्रिप्ट करू शकलो नाही","इस बैकअप को डिक्रिप्ट नहीं किया जा सका","pending-fluent-review","","1","www/index.html","6086","script-message","fa18db53c25645843ae935b0ba38598c398f972857ea7492effd41b92c130466"
"Could not read backup file:","बॅकअप फाइल वाचू शकलो नाही:","बैकअप फ़ाइल नहीं पढ़ सका:","pending-fluent-review","","1","www/index.html","6087","script-message","d494e1a6466776183e4d0e5cf743be98eb33af9d63566fa38cfe7342325c7bb5"
"Restore failed: invalid backup file.","पुनर्संचयित अयशस्वी: अवैध बॅकअप फाइल.","पुनर्स्थापना विफल: अमान्य बैकअप फ़ाइल।","pending-fluent-review","","1","www/index.html","6093","script-message","a4878597f5c33eb0c23191fb7173d6509526d729df4451e13dc9995401c13b3d"
"Decrypting and checking backup…","डिक्रिप्ट करत आहे आणि बॅकअप तपासत आहे...","डिक्रिप्ट किया जा रहा है और बैकअप की जाँच की जा रही है…","pending-fluent-review","","1","www/index.html","6096","script-message","95eb24e90eeaea7205b7237eb1113f994e9d19aa89ee1e28fd069a83d37bb7b0"
"This is an older unencrypted backup. Only continue if you created it and trust where it came from. New portable backups use the encrypted .sccbak format.","हा जुना अनएनक्रिप्ट केलेला बॅकअप आहे. तुम्ही ते तयार केले आणि ते कुठून आले यावर विश्वास ठेवला तरच सुरू ठेवा. नवीन पोर्टेबल बॅकअप एनक्रिप्टेड .sccbak फॉरमॅट वापरतात.","यह एक पुराना अनएन्क्रिप्टेड बैकअप है. केवल तभी जारी रखें जब आपने इसे बनाया हो और भरोसा करें कि यह कहाँ से आया है। नए पोर्टेबल बैकअप एन्क्रिप्टेड .scbak प्रारूप का उपयोग करते हैं।","pending-fluent-review","","1","www/index.html","6109","script-message","c284add35e04bbc4335fc1839f249b0bd21d2bdad5bb9f55f664f1279cac4350"
"Legacy restore cancelled.","लेगसी रिस्टोअर रद्द केले.","लीगेसी पुनर्स्थापना रद्द कर दी गई.","pending-fluent-review","","1","www/index.html","6110","script-message","de6150235f6eff8970d3f914599206c3500d96ea11d9bb6eaba6737ff3ad253a"
"Invalid backup format","अवैध बॅकअप स्वरूप","अमान्य बैकअप प्रारूप","pending-fluent-review","","1","www/index.html","6132","script-message","ac1320f5ffdff31c3605a51ac71d8c7db9d1bb76d25825632be932ab09c389c1"
"No usable keys found in backup","बॅकअपमध्ये वापरण्यायोग्य की आढळल्या नाहीत","बैकअप में कोई उपयोगी कुंजी नहीं मिली","pending-fluent-review","","1","www/index.html","6145","script-message","57753a93494ffc8bb36af106cb148ecdd0d5737468b3dd8eaa00cff6b4de75dd"
"Restore and verify","पुनर्संचयित करा आणि सत्यापित करा","पुनर्स्थापित करें और सत्यापित करें","pending-fluent-review","","1","www/index.html","6168","element:button","ad2e57f566e24baed6d299e273b068c77027a6a06428c0d151477a1d8e088d32"
"Restore engine unavailable. Nothing changed.","इंजिन पुनर्संचयित करा अनुपलब्ध. काहीही बदलले नाही.","इंजन पुनर्स्थापित करना अनुपलब्ध. कुछ भी नहीं बदला।","pending-fluent-review","","1","www/index.html","6210","script-message","072604a1c8d82f5a3ca58984c4c54e93bc8bffcf32ec4a614f19d2f22e616e94"
"Capturing current state before restore…","पुनर्संचयित करण्यापूर्वी वर्तमान स्थिती कॅप्चर करत आहे...","पुनर्स्थापित करने से पहले वर्तमान स्थिति कैप्चर कर रहा हूँ...","pending-fluent-review","","1","www/index.html","6211","script-message","4b90ecd4b2daaf4901f2b0c40578bb273604eb1035fe42ef8a938a8cf20d546a"
"Restore verified. Review the control totals.","पुनर्संचयित सत्यापित. एकूण नियंत्रणाचे पुनरावलोकन करा.","सत्यापित पुनर्स्थापित करें. नियंत्रण कुल की समीक्षा करें.","pending-fluent-review","","1","www/index.html","6280","script-message","85239c3c4e0124c9781205134f4e37272536bd1a6aa7ec83e925b36ac3541710"
"No restore acceptance is pending.","कोणतीही पुनर्संचयित स्वीकृती प्रलंबित नाही.","कोई पुनर्स्थापना स्वीकृति लंबित नहीं है.","pending-fluent-review","","1","www/index.html","6291","script-message","777c4a75e5924327cb60e13e2239403a4ee44e45d617cec04bb3c20f5b064e90"
"Acceptance could not be saved. Free device space and retry.","स्वीकृती जतन करणे शक्य झाले नाही. मोकळी डिव्हाइस जागा आणि पुन्हा प्रयत्न करा.","स्वीकृति सहेजी नहीं जा सकी. डिवाइस स्थान खाली करें और पुनः प्रयास करें।","pending-fluent-review","","1","www/index.html","6310","script-message","a66ac1ceb511a24f339b94822c39b7cc39a44811804c6403d53cb350c3957c1d"
"Restore accepted. Reloading…","पुनर्संचयित स्वीकारले. रीलोड करत आहे...","पुनर्स्थापना स्वीकृत. पुनः लोड हो रहा है...","pending-fluent-review","","1","www/index.html","6313","script-message","de6a85e572b1ad714b911ace5122be72561c3b6ef6131c7a1a26eb5574368c70"
"No saved data for","साठी कोणताही डेटा जतन केलेला नाही","के लिए कोई डेटा सहेजा नहीं गया","pending-fluent-review","","1","www/index.html","6322","script-message","ab8f38f03a1510616fb88d7dccab98416ef222f6f4083345dd4ad2c9ccd69f32"
"Reset aborted: the rollback snapshot could not be saved. Nothing was deleted.","रीसेट रद्द केले: रोलबॅक स्नॅपशॉट जतन करणे शक्य नाही. काहीही हटवले नाही.","रीसेट निरस्त किया गया: रोलबैक स्नैपशॉट सहेजा नहीं जा सका। कुछ भी नहीं हटाया गया.","pending-fluent-review","","1","www/index.html","6327","script-message","afb842c40ba8086a21b6819c79e1773e9d28c84aad84ea55691c72bfc7f67f32"
"Module reset failed and rollback could not be verified. Stop using this device and restore the latest encrypted backup.","मॉड्यूल रीसेट अयशस्वी झाले आणि रोलबॅक सत्यापित करणे शक्य झाले नाही. हे डिव्हाइस वापरणे थांबवा आणि नवीनतम एनक्रिप्टेड बॅकअप पुनर्संचयित करा.","मॉड्यूल रीसेट विफल रहा और रोलबैक सत्यापित नहीं किया जा सका। इस डिवाइस का उपयोग बंद करें और नवीनतम एन्क्रिप्टेड बैकअप पुनर्स्थापित करें।","pending-fluent-review","","1","www/index.html","6335","script-message","73bb37641f3eb0803634cf851be33f42b7df947f37f45583b048dbb15d77d01d"
"Module reset failed; the original module data was restored.","मॉड्यूल रीसेट अयशस्वी; मूळ मॉड्यूल डेटा पुनर्संचयित केला गेला.","मॉड्यूल रीसेट विफल; मूल मॉड्यूल डेटा पुनर्स्थापित किया गया था।","pending-fluent-review","","1","www/index.html","6336","script-message","1546a09ac795480d8daa2423d1cb5aea2efe77445c437268b88ac27ac0b31d66"
"No module reset is available to undo.","पूर्ववत करण्यासाठी कोणतेही मॉड्यूल रीसेट उपलब्ध नाही.","पूर्ववत करने के लिए कोई मॉड्यूल रीसेट उपलब्ध नहीं है।","pending-fluent-review","","1","www/index.html","6343","script-message","2ffd1dafcc4c4aa93639ec098d18ec062bf176ae9f02446bbaba17002bef8a14"
"The module-reset rollback snapshot is unavailable.","मॉड्यूल-रीसेट रोलबॅक स्नॅपशॉट अनुपलब्ध आहे.","मॉड्यूल-रीसेट रोलबैक स्नैपशॉट अनुपलब्ध है।","pending-fluent-review","","1","www/index.html","6345","script-message","c5b47487de80e8ee2f0754eb1fbd91c56d858cf95550d96a01d8a634ec037e64"
"Module reset undone and verified.","मॉड्यूल रीसेट पूर्ववत आणि सत्यापित.","मॉड्यूल रीसेट पूर्ववत और सत्यापित किया गया।","pending-fluent-review","","1","www/index.html","6352","script-message","b61a2ff56a7964fb07e852234bb5b81ca1b8de1c79de69a97b85851df302bbf9"
"Undo could not be verified. Restore the latest encrypted backup before continuing.","पूर्ववत करणे सत्यापित करणे शक्य झाले नाही. सुरू ठेवण्यापूर्वी नवीनतम एनक्रिप्टेड बॅकअप पुनर्संचयित करा.","पूर्ववत सत्यापित नहीं किया जा सका. जारी रखने से पहले नवीनतम एन्क्रिप्टेड बैकअप पुनर्स्थापित करें।","pending-fluent-review","","1","www/index.html","6353","script-message","3c89c6df71fae06569bb7a2e54480188267e3ab44ce8f8ab49a6f014f84a0fa3"
