row_id,english,marathi_machine_draft,hindi_machine_draft,category,source,safe_literal,preserved_literals,decision,reviewer,source_commit,english_sha256,row_sha256,machine_draft_provider
ETP-L10N-011,Preparing the verified data gateway,सत्यापित डेटा गेटवे तयार करत आहे,सत्यापित डेटा गेटवे तैयार करना,static-status,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,71f22e4ed994a35a61b3bb32620f9231cf627fd9bc3f7a038e57e6166190af67,69236c01ac0e1c7e29fd37b76e1b40ee1dbc5c9a2270c3106b0f2d72fea8011a,google-translate-connected-draft
ETP-L10N-012,This shell never reads the native ETP store directly. Data appears only through the governed parent gateway.,हे शेल नेटिव्ह ETP स्टोअर थेट कधीही वाचत नाही. डेटा फक्त नियंत्रित मुख्य गेटवेद्वारे दिसतो.,यह शेल नेटिव ETP स्टोर को कभी सीधे नहीं पढ़ता। डेटा केवल नियंत्रित मुख्य गेटवे के माध्यम से दिखाई देता है।,static-status,www/modules/etp/index.html,yes,ETP,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,7ccb8dc4fef4c4a0a6eb86e442adcc209e2dd7cf05d0bd94d7da7397ec5c995f,afd99aaa01e077e2eaee94bd3a0e6264d612e0064dbbd531a310e1d490b9d1a1,google-translate-connected-draft
ETP-L10N-013,Import & Validate,आयात करा आणि प्रमाणित करा,आयात और सत्यापन करें,static-heading,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,37da17f8082d34ea430cd7eecd85729f95310ebbaf82ff21ab7540b2a8b5079e,0bd0d08b903e30e428f194a94405227be2f6622e771f2d04e0635c94475d6bb3,google-translate-connected-draft
ETP-L10N-014,"Select the exact R003, R013, R022 and R025 reports, validate their common period and publish only after owner approval.","अचूक R003, R013, R022 आणि R025 अहवाल निवडा, त्यांचा सामान्य कालावधी सत्यापित करा आणि मालकाच्या मंजुरीनंतरच प्रकाशित करा.","सटीक R003, R013, R022 और R025 रिपोर्ट का चयन करें, उनकी सामान्य अवधि को मान्य करें और मालिक की मंजूरी के बाद ही प्रकाशित करें।",static-description,www/modules/etp/index.html,yes,R003;R013;R022;R025,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,9fe25b227aa01b11b14681c29815d41d91565e8f9122c92afc026ad961da66a3,21f049e85effd0171cf37e8757c74477ae83317b8b3c0444072e8d04f001c0b6,google-translate-connected-draft
ETP-L10N-015,Store and complete period,स्टोअर आणि संपूर्ण कालावधी,स्टोर और पूरी अवधि,static-heading,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,71e69d3badace6842287e8a42338e9039801a03c0ce3f0944f344fe7c18d8503,a9ff3980c6cc07404f34e845a3b028afe2f502de2f0a91f15108dcd815e52d08,google-translate-connected-draft
ETP-L10N-016,Store,स्टोअर,स्टोर,static-label,www/modules/etp/index.html,no,,approved-not-imported-shared-phrase,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,ee7da936b5cb293e9ae2fa0982bc5fcd4bdb11f4e7233bfdd81c1446010b4478,66c4b2059a4e1db9702567ca88d5eee86c4f0304c83ee706f94ec32a5e16609b,google-translate-connected-draft
ETP-L10N-017,WLMHW,WLMHW,WLMHW,safe-literal,www/modules/etp/index.html,yes,WLMHW,preserve-literal,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,ea1411715cbf8472d6a6da8b61e9f76d7c132d7e291f66cec4cad13bc86da5d9,58c713a13efe8d8eb67f1335dcb3f05c485cc8d5fadafd18e70a4b65d27888c6,google-translate-connected-draft
ETP-L10N-018,HEMW,HEMW,HEMW,safe-literal,www/modules/etp/index.html,yes,HEMW,preserve-literal,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,4990882b62410c8c60c73d8552be973235edf900fc372a97404cc7d00362c745,35258b92034c84faeca332442f96f330cd2b28697f11f036f7f1ad0e5bd7f6ac,google-translate-connected-draft
ETP-L10N-019,Financial year,आर्थिक वर्ष,वित्तीय वर्ष,static-label,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,32cc836f42008b8cb302f2377d87981af8c7a941ce21926f420f02ce66241724,911c598021cdfdac586f2e80404f5095d185ce8788e9b9aaa2bb67bca810979d,google-translate-connected-draft
ETP-L10N-020,2026-27,2026-27,2026-27,safe-literal,www/modules/etp/index.html,yes,2026-27,preserve-literal,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,9e1ca07d7f194227906abd6b1cbbf782638cffafa83bdf29cf85830ae934e4c3,38ce1b4e85d299747557c7187d8a70cff5b5ccb56b274eb5eb1cdefca4ed5e56,google-translate-connected-draft
ETP-L10N-021,From,पासून,से,static-label,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,218197693424e0154cefc0af31aed96c084b987e08136e91d5528ddbb5461e24,dac658bd85a3a0069a8304bd5ca339d6a5fc7b0486ea07c346b7c655a9faf8c9,google-translate-connected-draft
ETP-L10N-022,To,ला,को,static-label,www/modules/etp/index.html,no,,approved-not-imported-shared-phrase,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,f4b06ef6d3c81436f60a318c81c42f8f7e2d774d45a22f3b9b5f3b6980d28146,ba2fdcc2adb58d999513a1b7180d7f8f69d2f372f2e3404a1ba944134a82fc1b,google-translate-connected-draft
ETP-L10N-023,Required Retail ETP reports,आवश्यक रिटेल ETP अहवाल,आवश्यक खुदरा ETP रिपोर्ट,static-accessibility,www/modules/etp/index.html,yes,ETP,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,11d5e2930e4c0c3da736d1aadba3876285e15ddc13d66a2f2dc8a6e53532ed67,f7d1238298e08d6bed03c75ed26db68222462358d9a64226f3b4180f956a6e84,google-translate-connected-draft
ETP-L10N-024,R003,R003,R003,safe-literal,www/modules/etp/index.html,yes,R003,preserve-literal,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,9b69d6ccf11f4dabdf42e3c52754d2a929ae20bbb3d84a4efe198ca0d3ef5a33,67bc7255fb5b3cfb90c4bde31b9cdd7e5f0735fcc8924ecdc47c8a2a88103f63,google-translate-connected-draft
ETP-L10N-025,Choose All Discount Type XLSX,सर्व सूट प्रकार XLSX निवडा,सभी डिस्काउंट प्रकार XLSX चुनें,static-control,www/modules/etp/index.html,yes,XLSX,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,4691c0c5ca69fe1e189ad87b0945ad687a13bf575929096b6048143b746a7ef6,438fb2495ba86f689a056b8e14049d98577e82660ee05d1bcc84130f86a30031,google-translate-connected-draft
ETP-L10N-026,R013,R013,R013,safe-literal,www/modules/etp/index.html,yes,R013,preserve-literal,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,523ef732c0f33f16996dd9ead0725af2f65e34ef38224e6d3efad58453861a78,54d90e07481ff72536c657bed4435ffb929dc7c919c96802b8f407e2d42980e9,google-translate-connected-draft
ETP-L10N-027,Choose CRO Wise Sales XLSX,CRO-नुसार विक्री XLSX निवडा,CRO-वार बिक्री XLSX चुनें,static-control,www/modules/etp/index.html,yes,CRO;XLSX,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,499167209b74b95a66c5e897cf52093b41b15d6151a2645ac4ea4bedee9850f7,1c31f8b2926b7f160c1837c38e3a49bbc3b8628f7c22b78c911e0df191c1e65a,google-translate-connected-draft
ETP-L10N-028,R022,R022,R022,safe-literal,www/modules/etp/index.html,yes,R022,preserve-literal,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,e584d0f7289ec89a038df46b7612ae2757e3c97ab3f8424cbebd5ff67e36e109,353216240421ab782c23948f43b0e41bf5240791abad7c15babab6eb69ee99c8,google-translate-connected-draft
ETP-L10N-029,Choose Revenue Report XLSX,महसूल अहवाल XLSX निवडा,राजस्व रिपोर्ट XLSX चुनें,static-control,www/modules/etp/index.html,yes,XLSX,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,8a3d9d84c0344bcfd720fd5f798e932a3cc55028d90e3306142eb34ea428d1be,5bf766581e6dcd1836868fa5d34ba91795cb726936f3f022a490a6f12cbd09d4,google-translate-connected-draft
ETP-L10N-030,R025,R025,R025,safe-literal,www/modules/etp/index.html,yes,R025,preserve-literal,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,6be1e0f79691a2c2516b90ffb87a46c57394381a7af1e39cbabb33e76f625119,083fd77bde7c283399342462c5a5f746e450439614761e4a986be9d7d4127afd,google-translate-connected-draft
ETP-L10N-031,Choose SDB Variantwise Sales XLSX,SDB पर्यायानुसार विक्री XLSX निवडा,SDB वैरिएंट अनुसार बिक्री XLSX चुनें,static-control,www/modules/etp/index.html,yes,SDB;XLSX,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,1777a833428620ccb3d605ecf763a0b0f3e30777e44ed39c2d00b1ebedfc6e81,6c648308067ac7daea19035014ab2648f87c15f1f64bfa40b84bdce9ad7e403c,google-translate-connected-draft
ETP-L10N-032,I confirm all four exports cover the complete selected period. Publication requires fresh Owner approval.,मी पुष्टी करतो की सर्व चार निर्यात निवडलेला संपूर्ण कालावधी व्यापतात. प्रकाशनासाठी मालकाची नव्याने मंजुरी आवश्यक आहे.,मैं पुष्टि करता हूँ कि सभी चार निर्यात पूरी चयनित अवधि को कवर करते हैं। प्रकाशन के लिए मालिक की नई मंजूरी आवश्यक है।,static-control,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,4382bf0ebf268d7eb43f18c154a9e0812a71c5e768648df21871e4c8474c96d2,5916fd70df3d0a6dda5d27221daca8ee0734ae30133d796160e423bda0a67d02,google-translate-connected-draft
ETP-L10N-033,Select an exact scope and all four reports. Nothing is published during validation.,अचूक स्कोप आणि सर्व चार अहवाल निवडा. प्रमाणीकरणादरम्यान काहीही प्रकाशित केले जात नाही.,एक सटीक दायरा और सभी चार रिपोर्ट चुनें। सत्यापन के दौरान कुछ भी प्रकाशित नहीं किया जाता है.,static-status,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,298c7a3eab6dccd523d58578916ae9bc91134c25bf0addaad9691b9037c6fd49,5a077691b247af229ce324dda43b3350d697ed7bcf859748b916e782bdccac45,google-translate-connected-draft
ETP-L10N-034,Validate reports,अहवाल सत्यापित करा,रिपोर्ट मान्य करें,static-control,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,d3ece59e2c4648af08536e626f3d8f4ca93adabee643089f7428ad112696bb3e,961ea434264550fb868c2d3c5c680df85e1fe2d25cb40ed757030ff3cd9ab14e,google-translate-connected-draft
ETP-L10N-035,Confirm and publish,पुष्टी करा आणि प्रकाशित करा,पुष्टि करें और प्रकाशित करें,static-control,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,e1ee1bc803d62095f8330a57c9d232af35cf2a1698337aba88077736b71c8f60,939ac326e64d7c6cada329ef2d42969d6366fc150ed5ab521eaf32b783ec243b,google-translate-connected-draft
ETP-L10N-036,Selected workbook bytes are used only for validation and are released after a terminal success. Raw rows and customer information are never rendered here.,निवडलेल्या वर्कबुकमधील बाइट्स फक्त पडताळणीसाठी वापरले जातात आणि प्रक्रिया यशस्वी झाल्यावर मुक्त केले जातात. कच्च्या ओळी आणि ग्राहक माहिती येथे कधीही दाखवली जात नाही.,चयनित वर्कबुक के बाइट्स केवल सत्यापन के लिए उपयोग किए जाते हैं और प्रक्रिया सफल होने पर मुक्त कर दिए जाते हैं। कच्ची पंक्तियाँ और ग्राहक जानकारी यहाँ कभी प्रदर्शित नहीं होतीं।,static-description,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,38cdb29d163aefaeb87b60a6b97d38bc84acf1bcfc6df90765bc5d663bc850cb,96fcb7cc94ce43bc659b87a13fdae262c2c9beb42b62dd1c876d17de9314e711,google-translate-connected-draft
ETP-L10N-037,Only an authenticated active generation with passed blocking reconciliation may supply these read-only views.,प्रकाशन रोखणारा ताळमेळ यशस्वी झालेली प्रमाणित सक्रिय डेटा आवृत्तीच ही केवळ-वाचनीय दृश्ये देऊ शकते.,प्रकाशन रोकने वाला मिलान सफल होने वाली प्रमाणित सक्रिय डेटा पीढ़ी ही ये केवल-पढ़ने योग्य दृश्य दिखा सकती है।,static-description,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,5639365e814709c0b03b9eac1ca1e5a6d1d930d81d463811023867ed625a6804,91c40b5ee79da834430914358eb6f467d45cc4d934b52de448f64ba363e05d74,google-translate-connected-draft
ETP-L10N-038,Loading published scopes…,प्रकाशित स्कोप लोड करत आहे...,प्रकाशित दायरे लोड हो रहे हैं...,static-status,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,a04d0ad838d42a2f981a8afa1e14740db778f0dfbe510f64ffb1bdc92ceccc63,c565ed5714f94473b1ff24b317f4d0edec94b1d8de477e391934c53d46f8365e,google-translate-connected-draft
ETP-L10N-039,Refresh verified views,सत्यापित दृश्ये रीफ्रेश करा,सत्यापित दृश्य ताज़ा करें,static-control,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,3fa2296ccfa47506cd287c756a530923ac55c1d291f733d643933ca4a12cc838,78a1736487e7ef95ecfe2be130af3f4b64a7b4b823ad887aafc5e02339e15165,google-translate-connected-draft
ETP-L10N-040,R022 · Revenue & tender,R022 · महसूल आणि पेमेंट प्रकार,R022 · राजस्व और भुगतान प्रकार,static-heading,www/modules/etp/index.html,yes,R022,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,9f17654a1a01043d406f81ff11db783f1f3a3bcd7ca9a68c733d33cf0fe1f9be,3ea4d5d4f233eafa5c42142bee89d442e6b0013c96091a25bbc1ec20368d98cc,google-translate-connected-draft
ETP-L10N-041,Invoice-level revenue and approved payment classifications.,इनव्हॉइस-स्तरीय महसूल आणि मंजूर पेमेंट वर्गीकरण.,चालान-स्तरीय राजस्व और अनुमोदित भुगतान वर्गीकरण।,static-description,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,c6e4c72f9bde3cc48ef74d7dd0252b893d57455caad331d7527db5a5c173692b,8800087059155b985118c0899a60ff43afd49f96fd45c85745e5363e7dda9589,google-translate-connected-draft
ETP-L10N-042,Verified projection pending,सत्यापित डेटा दृश्य प्रलंबित,सत्यापित डेटा दृश्य लंबित है,static-status,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,ede665b66b9c109397ebf2fc4647aa1f3947e3b73d51fff3a80e785628c2322b,b89c63ab3636d072246466a4d223597d48b672a812581ac9160d16085b87a545,google-translate-connected-draft
ETP-L10N-043,R025 · Sales detail,R025 · विक्री तपशील,R025 · बिक्री विवरण,static-heading,www/modules/etp/index.html,yes,R025,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,462ac0fb353d9eaacfabe670bf3025057d19359c57081311eed04cfe798dc4eb,d7ccd22ba6c217bf68bc92378f9031f2561f04c378c0500dc017dba32a3373e3,google-translate-connected-draft
ETP-L10N-044,"Item-level quantity, value, tax and safe product dimensions.","आयटम-स्तरीय प्रमाण, मूल्य, कर आणि सुरक्षित उत्पादन परिमाणे.","आइटम-स्तरीय मात्रा, मूल्य, कर और सुरक्षित उत्पाद आयाम।",static-description,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,827d5756cd1f73167e2308fa85e40cd68c9a673e58b5bb3c52d523a7ceaa0ab7,d3f3dc5a4e5835f8635372cf9f2eec5872cdc440c8b4ba56d1a25c00d299d7f7,google-translate-connected-draft
ETP-L10N-045,R013 · CRO attribution,R013 · CRO विक्री श्रेय,R013 · CRO बिक्री श्रेय,static-heading,www/modules/etp/index.html,yes,CRO;R013,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,bb28918dcda688aaa922cb07765ad8f1d0b4e2b66526639ba2c17162c73fd223,4093d401aa79b4c9e60272f3c3a4859a368841ce0ee909cd7ac8c769db5b2af8,google-translate-connected-draft
ETP-L10N-046,CRO-attributed sales with unassigned and exception visibility.,"CRO ला श्रेय दिलेली विक्री, तसेच न जोडलेल्या नोंदी आणि अपवाद.","CRO को श्रेय दी गई बिक्री, साथ में असंबद्ध प्रविष्टियाँ और अपवाद।",static-description,www/modules/etp/index.html,yes,CRO,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,7a25b4917e63cc1a25c0545800b2fdced04bea3bed18c137d99c73865a54171e,d5613087951aadc9aebc761cf3af1a57c5012ff3c47943d9802c657d6df7c4a5,google-translate-connected-draft
ETP-L10N-047,R003 · Discounts,R003 · सूट,R003 · छूट,static-heading,www/modules/etp/index.html,yes,R003,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,d13f870fe8cf148871d3fae83bab907757aa4b9daabe86565d99f63a02ad1e7d,ddc1fb17b22a6829f55f0d28b9a1c7557eaa3cb400a8339bccac26c2f8c17019,google-translate-connected-draft
ETP-L10N-048,Scheme and manual-discount analysis without customer PII.,ग्राहक PII शिवाय योजना आणि मॅन्युअल-सवलत विश्लेषण.,ग्राहक PII के बिना योजना और मैनुअल-छूट विश्लेषण।,static-description,www/modules/etp/index.html,yes,PII,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,3e70448f74986cd211bed16385073eb747d3389d89ee46ae21d919112d3b6008,0d68637ddbbf794f157e506f095b8d76d7cda662783e3835534e98e0aaa98e16,google-translate-connected-draft
ETP-L10N-049,"Current receipt, verified-through date, four-report completeness, restore fence and bounded supersession history.","सध्याची पावती, पडताळणी पूर्ण झाल्याची तारीख, चारही अहवालांची पूर्णता, पुनर्स्थापनेनंतरचा प्रवेश-अवरोध आणि मर्यादित आवृत्ती-बदल इतिहास.","वर्तमान रसीद, सत्यापन-पूर्ण तिथि, चारों रिपोर्ट की पूर्णता, पुनर्स्थापना के बाद का पहुँच-अवरोध और सीमित संस्करण-परिवर्तन इतिहास।",static-description,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,935e3051aae5b29a946d12932734c76e93c7c87c236db3c8f573dec3c94fc25b,a49c6767feb28e50fdfcd113b03deb1dcd1ed0384bce5e498eb9f3bceba41283,google-translate-connected-draft
ETP-L10N-050,Refresh history,इतिहास रीफ्रेश करा,इतिहास ताज़ा करें,static-control,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,70f3d21749ccb8da8e5be8ab54a1794192ed29f59e9b298fcce12da30ef669d6,286a5eba08b6c5108c3d4793c5c2ca5030ba92aca8c2c67645dc71937141959c,google-translate-connected-draft
ETP-L10N-051,No verified scope loaded.,कोणतेही सत्यापित स्कोप लोड केलेले नाही.,कोई सत्यापित दायरा लोड नहीं किया गया.,static-status,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,b15180f50684b223a0fd456e0e15263b90965b1440a1eb3f8cd8c7b93129ed61,8ad5b7bc8a4ec4f1ac6e35cf8bcec5249fedb46d37c5f677e71d66909d8d16c8,google-translate-connected-draft
ETP-L10N-052,Verified scope,सत्यापित व्याप्ती,सत्यापित दायरा,static-heading,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,b2357ad523ec4884a24ed23cb3abb0e4bd7fa866874416a8471a07f811487d29,11290797408f11bb331d64c52fc0887f5e0a45b26f8dd26df62196963543b014,google-translate-connected-draft
ETP-L10N-053,"REC-002, R003 and R013 controls remain visible alongside all unresolved tender classifications.","REC-002, R003 आणि R013 नियंत्रणे सर्व निराकरण न झालेल्या पेमेंट-प्रकार वर्गीकरणांसह दृश्यमान राहतील.","REC-002, R003 और R013 नियंत्रण सभी अनसुलझे भुगतान-प्रकार वर्गीकरणों के साथ दिखाई देते रहेंगे।",static-description,www/modules/etp/index.html,yes,R003;R013;REC-002,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,1c0bdaa1f8930ea4b54afdabe515de99486c540219264f55884a9515866cdf93,b471e6c6f86561affe6d96779ef4994c0fd0f67638bc12c36736d2190854d0ac,google-translate-connected-draft
ETP-L10N-054,Refresh exceptions,अपवाद रिफ्रेश करा,अपवाद ताज़ा करें,static-control,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,615d7aa05a31c5a07a2cc40bc021038d5e13d56f1eb2c7cf3205a750a6ab7cc9,d84f6a3d6b76c57411696f71763e2067369a56acf9cfe45e0453ea1ef5a2ea37,google-translate-connected-draft
ETP-L10N-055,R022 ↔ R025,R022 ↔ R025,R022 ↔ R025,safe-literal,www/modules/etp/index.html,yes,R022;R025,preserve-literal,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,df033f08e2bb5daeb0d4c4704cfdc4757cac56680b4fd0372f6422fe773562a7,204798787fa4b3e7a2b7c467d3a546dff8843c35c0586f0894fd4c4fb249cee4,google-translate-connected-draft
ETP-L10N-056,Blocking quantity and net-value reconciliation.,प्रकाशन रोखणारा प्रमाण आणि निव्वळ मूल्याचा ताळमेळ.,प्रकाशन रोकने वाला मात्रा और शुद्ध मूल्य का मिलान।,static-description,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,599aa8afb4e5f017baeaf8499c566c8b1ea98cbc0becfa9eb27a4abb9bafee51,718c689b6e8aa864f3281f0dc3abccb209ea1332e360a5ee1eaa8fadebbf4b2d,google-translate-connected-draft
ETP-L10N-057,Status pending,स्थिती प्रलंबित,स्थिति लंबित है,static-status,www/modules/etp/index.html,no,,translate,Sagar (sagarbora91),4b5c9c5c883f621cc31ea22d18203425ebcdc88d,640e0fa5263a0513aa6b0e0a807b4a0014c4ab7d3329445c481d0c2245336d4d,69db67fdeb2449031da2609b0a5004324484296ce8199ebc2bac3870f43827ad,google-translate-connected-draft
